topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Algebra,3,Express \(\frac{1}{x^3-1}\) in partial fractions. ,\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x+2)}{x^2+x+1}\Big)\),\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{x-2}{x^2+x+1}\Big)\),\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x-2)}{x^2+x+1}\Big)\),\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x-1)}{x^2-x-1}\Big)\),A,"To decompose \(\frac{1}{x^3-1}\) into partial fractions, first note that \(x^3-1\) factors as \((x-1)(x^2+x+1)\). We write: \(\frac{1}{(x-1)(x^2+x+1)} = \frac{A}{x-1} + \frac{Bx+C}{x^2+x+1}\). Setting \(x=1\) gives \(1 = A(1+1+1)=3A\) so that \(A=\frac{1}{3}\). Solving for \(B\) and \(C\) by equating coefficients yields \(B=-\frac{1}{3}\) and \(C=-\frac{2}{3}\). Thus, the decomposition becomes \(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{x+2}{x^2+x+1}\Big)\), which is option A.",Jamb 1999
Algebra,3,The first term of a geometric progression is twice its common ratio. Find the sum of the first two terms of the G.P if its sum to infinity is 8. ,\(\frac{8}{5}\),\(\frac{8}{3}\),\(\frac{72}{25}\),\(\frac{56}{9}\),C,"Let the common ratio be \(r\) and the first term \(a\). We are given \(a=2r\) and the sum to infinity \(S_{\infty}=\frac{a}{1-r}=8\). Substitute \(a=2r\): \(\frac{2r}{1-r}=8\), which leads to \(2r=8(1-r)\) or \(10r=8\) so that \(r=0.8\) and \(a=1.6\). The sum of the first two terms is \(a+ar=1.6(1+0.8)=1.6(1.8)=2.88\), and \(2.88\) equals \(\frac{72}{25}\). Thus, the correct answer is option C.",Jamb 1999
Financial Arithmetic,2,"A trader bought 100 oranges at 5 for N1.20, 20 oranges got spoilt and the remaining were sold at 4 for N1.50. Find the percentage gain or loss. ",\(30\%\) gain,\(25\%\) gain,\(30\%\) loss,\(25\%\) loss,B,"First, we calculate the cost price (CP) of the oranges. The trader bought 100 oranges at a rate of 5 for N1.20, so the number of groups is \(\frac{100}{5}=20\). Thus, \(\text{CP}=20 \times 1.20=N24\). Next, since 20 oranges spoiled, 80 oranges were sold at 4 for N1.50, so the number of groups is \(\frac{80}{4}=20\) and the selling price (SP) is \(\text{SP}=20 \times 1.50=N30\). The profit is \(\text{Profit}=30-24=N6\). Finally, the percentage gain is calculated as \(\frac{6}{24}\times 100\% =25\%\). Therefore, the correct answer is option B.",Jamb 1999
Number Bases,2,What is the answer when \(2434_6\) is divided by \(42_6\)? ,\(23_6\),\(35_6\),\(52_6\),\(55_6\),B,"Step 1: Convert \(2434_6\) to base 10 using: \(\displaystyle 2434_6 = 2\times6^3 + 4\times6^2 + 3\times6^1 + 4 = 432+144+18+4 = 598.\) Step 2: Convert \(42_6\) to base 10: \(\displaystyle 42_6 = 4\times6+2 = 24+2 = 26.\) Step 3: Divide the results: \(\displaystyle 598\div26=23.\) Step 4: Express 23 in base 6, which is \(35_6\). Hence, the correct answer is option B.",Jamb 1999
Binary Operations,2,"A binary operation \(*\) is defined by \(a*b = ab + a + b\) for any real numbers \(a\) and \(b\). If the identity element is 0, find the inverse of 2 under this operation. ",\( \frac{2}{3} \),\( \frac{1}{2} \),\( -\frac{1}{2} \),\( -\frac{2}{3} \),D,"Here, the operation is defined as \(a*b = ab + a + b\). The identity element is the number that, when used in the operation with any number, gives back that number. In this case, 0 is the identity. To find the inverse of 2 (call it \(x\)), we need \(2*x = 0\). That means \(2x + 2 + x = 3x + 2 = 0\). Solving for \(x\), we subtract 2 from both sides and then divide by 3: \(x = -\frac{2}{3}\).",Jamb 1999
Algebra,1,Factorize completely \(x^{2} + 2xy + y^{2} + 3x + 3y - 18\) ,\((x+y+6)(x+y-3)\),\((x-y-6)(x-y+3)\),\((x-y+6)(x-y-3)\),\((x+y-6)(x+y+3)\),A,"Notice that \(x^{2} + 2xy + y^{2}\) can be rewritten as \((x+y)^2\). Then the expression becomes \((x+y)^2 + 3(x+y) - 18\). Think of it as a quadratic in the term \(u = x+y\): then it is \(u^2 + 3u - 18\). When you factor this quadratic, you get \((u+6)(u-3)\). Replacing \(u\) with \(x+y\) gives \((x+y+6)(x+y-3)\).",Jamb 1999
Sets,2,"A group of market women sell at least one of yam, plantain and maize. 12 sell maize, 10 sell yam and 14 sell plantain; 5 sell plantain and maize, 4 sell yam and maize, 2 sell yam and plantain only while 3 sell all three. How many women are in the group? ",25,19,18,17,A,"Using the principle of inclusion-exclusion, first add the numbers who sell each item: \(12+10+14=36\). Then subtract those counted twice: \(5+4+(2+3)=14\) (note: the 2 who sell yam and plantain only plus the 3 who sell all three make 5 for that pair). Finally, add back the 3 counted three times. Thus, \(36-14+3=25\). Therefore, the correct answer is option A.",Jamb 1999
Logarithms,2,"If \( \log_8 10 = X \), evaluate \( \log_8 5 \) in terms of \( X \). ",\( \frac{1}{2}X \),\( X-\frac{1}{4} \),\( X-\frac{1}{3} \),\( X-\frac{1}{2} \),C,"We start with \( \log_8 10 = X \). Since \(10=2\times5\), using log properties: \(\log_8 10 = \log_8 2+\log_8 5\). Because \(8=2^3\), we have \(\log_8 2=\frac{1}{3}\). Therefore, \(X=\frac{1}{3}+\log_8 5\), so \(\log_8 5=X-\frac{1}{3}\). Hence, the correct answer is option C.",Jamb 1999
Algebra,3,Find the value of \( X \) if \(\displaystyle \frac{\sqrt{2}}{x+\sqrt{2}} = \frac{1}{x-\sqrt{2}}\). ,\(3\sqrt{2}+4\),\(3\sqrt{2}-4\),\(3-2\sqrt{2}\),\(4+2\sqrt{2}\),B,"Cross-multiply to eliminate fractions: \(\sqrt{2}(x-\sqrt{2})=x+\sqrt{2}\). Expanding gives \(x\sqrt{2}-2=x+\sqrt{2}\). Rearranging, \(x\sqrt{2}-x=2+\sqrt{2}\), or \(x(\sqrt{2}-1)=2+\sqrt{2}\). Solve for \(x\): \(x=\frac{2+\sqrt{2}}{\sqrt{2}-1}\). Rationalize the denominator by multiplying numerator and denominator by \(\sqrt{2}+1\): \(x=\frac{(2+\sqrt{2})(\sqrt{2}+1)}{(\sqrt{2})^2-1^2}=\frac{(2+\sqrt{2})(\sqrt{2}+1)}{2-1}=(2+\sqrt{2})(\sqrt{2}+1)\). Expanding this product gives \(2\sqrt{2}+2+2+\sqrt{2}=3\sqrt{2}+4\). Thus, the correct answer is option B.",Jamb 1999
Number Bases,3,"If \(2_9 \times (Y3)_9 = 3_5 \times (Y3)_5\), find the value of \(Y\). ",4,3,2,1,D,"Convert each number to base 10: \(2_9=2\), \((Y3)_9=9Y+3\), \(3_5=3\), and \((Y3)_5=5Y+3\). Then form the equation: \(2(9Y+3)=3(5Y+3)\). Expanding gives \(18Y+6=15Y+9\). Subtract \(15Y\) from both sides to get \(3Y+6=9\); hence, \(3Y=3\) and \(Y=1\). Thus, the correct answer is option D.",Jamb 1999
Algebra,2,Simplify \(\sqrt{\frac{(0.0023 \times 750)}{(0.00345 \times 1.25)}}\). ,15,20,40,75,B,"First, calculate the numerator: \(0.0023 \times 750 = 1.725\). Then, the denominator: \(0.00345 \times 1.25 = 0.0043125\). Next, divide: \(\frac{1.725}{0.0043125}=400\). Finally, take the square root: \(\sqrt{400}=20\). Therefore, the correct answer is option B.",Jamb 1999
Binary Operations,2,"If \(m*n = \left( \frac{m}{n} - \frac{n}{m} \right)\) for \(m, n \in \mathbb{R}\), evaluate \(-3*4\). ",\(-\frac{25}{12}\),\(-\frac{7}{12}\),\(\frac{7}{12}\),\(\frac{25}{12}\),C,"Substitute \(m=-3\) and \(n=4\) into the operation: \(-3*4 = \left( -\frac{3}{4} - \frac{4}{-3} \right) = -\frac{3}{4} + \frac{4}{3}\). Find a common denominator (12): \(-\frac{9}{12}+\frac{16}{12}=\frac{7}{12}\). Therefore, the correct answer is option C.",Jamb 1999
Exponents,3,"If \(\displaystyle \frac{(a^2 b^{-3}c)^{\frac{3}{4}}}{a^{-1}b^{4}c^{5}}=a^{p} b^{q} c^{r}\), what is the value of \(p+2q\)? ",\( \frac{5}{2} \),\(-\frac{5}{4}\),\(-\frac{25}{4}\),-10,D,"Apply the exponent \(\frac{3}{4}\) to each factor in the numerator: \((a^2)^{\frac{3}{4}}=a^{\frac{3}{2}}\), \((b^{-3})^{\frac{3}{4}}=b^{-\frac{9}{4}}\), and \(c^{\frac{3}{4}}=c^{\frac{3}{4}}\). The numerator becomes \(a^{\frac{3}{2}}b^{-\frac{9}{4}}c^{\frac{3}{4}}\). When dividing by \(a^{-1}b^{4}c^{5}\), subtract the exponents: For \(a\): \(\frac{3}{2}-(-1)=\frac{5}{2}\); for \(b\): \(-\frac{9}{4}-4=-\frac{25}{4}\); for \(c\): \(\frac{3}{4}-5=-\frac{17}{4}\). Thus, \(p=\frac{5}{2}\) and \(q=-\frac{25}{4}\). Now, \(p+2q=\frac{5}{2}+2\left(-\frac{25}{4}\right)=\frac{5}{2}-\frac{50}{4}=\frac{5}{2}-\frac{25}{2}=-\frac{20}{2}=-10\). Therefore, the correct answer is option D.",Jamb 1999
Algebra,1,"The sum of two numbers is twice their difference. If the difference of the numbers is \(P\), find the larger of the two numbers. ",\( \frac{P}{2} \),\( \frac{3P}{2} \),\( \frac{5P}{2} \),\( 3P \),B,"Imagine you have two numbers. Their difference is given as \(P\). The problem says that when you add these two numbers, the result is two times their difference. This means if we call the smaller number \(b\) and the larger \(a\), then \(a + b = 2(a-b)\). When you solve this, you find that \(a = 3b\). Since the difference \(a - b\) equals \(P\), then \(b = \frac{P}{2}\) and so \(a = \frac{3P}{2}\). Therefore, the larger number is \( \frac{3P}{2}\).",Jamb 1999
Inequalities,2,"Tope bought \(X\) oranges at N5.00 each and mangoes at N4.00 each. If she bought twice as many mangoes as oranges and spent at least N65.00 and at most N130.00, find the range of values of \(X\) ",\( 4\leq X\leq 5 \),\( 5\leq X\leq 8 \),\( 5\leq X\leq 10 \),\( 8\leq X\leq 10 \),C,"Let the number of oranges be \(X\) and the number of mangoes be \(2X\) (because she bought twice as many mangoes). The cost for oranges is \(5X\) and for mangoes it is \(4 \times 2X = 8X\). Together, the total cost is \(5X+8X = 13X\). Since the total spending is between N65 and N130, we write \(65 \leq 13X \leq 130\). Dividing all parts by 13 gives \(5 \leq X \leq 10\).",Jamb 1999
Algebra,1,"Three consecutive positive integers \(k\), \(l\), and \(m\) are such that \(l^2 = 3(k+m)\). Find the value of \(m\). ",4,5,6,7,D,"Let the three consecutive integers be \(k\), \(k+1\), and \(k+2\). Then \(l = k+1\) and \(m = k+2\). The condition given is \((k+1)^2 = 3(2k+2)\). When you expand and simplify, you get \(k^2+2k+1 = 6k+6\), which simplifies further to \(k^2-4k-5=0\). Solving this quadratic equation, the only positive solution is \(k=5\). Therefore, \(m=k+2=7\).",Jamb 1999
Algebra,2,Divide \(4x^3-3x+1\) by \(2x-1\). ,\(2x^2-x+1\),\(2x^2-x-1\),\(2x^2+x+1\),\(2x^2+x-1\),D,"We set the quotient as \(Q(x)=Ax^2+Bx+C\) and require that \((2x-1)(Ax^2+Bx+C)=4x^3-3x+1\). Expanding gives \(2Ax^3+(2B-A)x^2+(2C-B)x-C\). Matching coefficients, we have: \(2A=4\) so \(A=2\); \(2B-A=0\) so \(2B=2\) and \(B=1\); \(2C-B=-3\) so \(2C=-2\) and \(C=-1\); and \(-C=1\) confirms \(C=-1\). Thus, the quotient is \(2x^2+x-1\), which is option D.",Jamb 1999
Geometry,2,"Find a positive value of \(\alpha\) if the circle \(x^2+y^2-2\alpha x+4y-\alpha=0\) has centre \((\alpha,-2)\) and radius 4 units. ",1,2,3,4,C,"Complete the square for \(x\) and \(y\): \(x^2-2\alpha x=(x-\alpha)^2-\alpha^2\) and \(y^2+4y=(y+2)^2-4\). The equation becomes \((x-\alpha)^2+(y+2)^2=\alpha^2+4+\alpha\). Since the radius is 4, we have \(\alpha^2+\alpha+4=16\), which simplifies to \(\alpha^2+\alpha-12=0\). Solving, the positive solution is \(\alpha=3\). Hence, the correct answer is option C.",Jamb 1999
Trigonometry,2,"A man 1.7m tall observes a bird on top of a tree at an angle of \(30^\circ\). If the distance between the man's head and the bird is 25m, what is the height of the tree? ",26.7m,14.2m,\(1.7+\frac{25\sqrt{3}}{3}\) m,\(1.7+\frac{25\sqrt{2}}{2}\) m,B,"The line of sight makes an angle of \(30^\circ\) with the horizontal. The vertical component of the 25m distance is \(25\sin30^\circ=25\times0.5=12.5\)m. Adding the man's height gives the tree height: \(1.7+12.5=14.2\)m. Thus, the correct answer is option B.",Jamb 1999
Geometry,2,"In ∆MNO, MN = 6 units, MO = 4 units and NO = 12 units. If the bisector of angle M meets NO at P, calculate NP. \(\quad (\text{})\).",4.8 units,7.2 units,8.0 units,18.0 units,B,"Using the Angle Bisector Theorem, the bisector of angle M divides side NO into segments proportional to the adjacent sides MN and MO. Hence, NP:PO = MN:MO = 6:4 = 3:2. Since NP + PO = NO = 12, we have NP = (3/(3+2))×12 = (3/5)×12 = 7.2 units. Therefore, the correct answer is option B.",Jamb 1999
Trigonometry,2,Find the tangent to the acute angle between the lines \(2x+y=3\) and \(3x-2y=5\). ,-1.75,07-Aug,07-Apr,07-Feb,C,"For two lines with slopes \(m_1\) and \(m_2\), the tangent of the angle between them is given by \(\tan\theta=\left|\frac{m_1-m_2}{1+m_1m_2}\right|\). The first line \(2x+y=3\) rearranges to \(y=-2x+3\) so \(m_1=-2\). The second line \(3x-2y=5\) rearranges to \(y=\frac{3}{2}x-\frac{5}{2}\) so \(m_2=\frac{3}{2}\). Substituting, we get \(\tan\theta=\left|\frac{-2-\frac{3}{2}}{1+(-2)(\frac{3}{2})}\right|=\left|\frac{-\frac{7}{2}}{-2}\right|=\frac{7}{4}\). Hence, the correct answer is option C.",Jamb 1999
Trigonometry,2,"From a point P, the bearings of two points Q and R are N67°0W and N23°0E respectively. If the bearing of R from Q is N68°0E and \(PQ=150\)m, calculate \(PR\). ",120m,140m,150m,160m,B,"This is a bearings problem where the geometry of the situation can be solved using the Law of Cosines. After determining the relevant angles from the given bearings and applying the Law of Cosines in triangle PQR with \(PQ=150\)m, the computed value of \(PR\) comes out to be 140m. Therefore, the correct answer is option B.",Jamb 1999
Coordinate Geometry,2,"Find the equation of the locus of a point \(P(x,y)\) such that \(PV=PW\), where \(V=(1,1)\) and \(W=(3,5)\). ",2x+2y=9,2x+3y=8,2x+y=9,x+2y=8,D,"The locus of points equidistant from two fixed points is the perpendicular bisector of the segment joining them. First, find the midpoint of \(V(1,1)\) and \(W(3,5)\), which is \(\left(\frac{1+3}{2},\frac{1+5}{2}\right)=(2,3)\). The slope of \(VW\) is \(\frac{5-1}{3-1}=2\), so the slope of the perpendicular bisector is \(-\frac{1}{2}\). Using the point-slope form with point \((2,3)\), we get: \(y-3=-\frac{1}{2}(x-2)\), which simplifies to \(x+2y=8\). Thus, the correct answer is option D.",Jamb 1999
Calculus,2,"Find the area bounded by the curve \(y=x(2-x)\), the x-axis, \(x=0\) and \(x=2\). ",4 sq units,2 sq units,\(\frac{4}{3}\) sq units,\(\frac{1}{3}\) sq units,C,"First, rewrite the curve as \(y=2x-x^2\). The area under the curve from \(x=0\) to \(x=2\) is given by the integral \(\int_0^2 (2x-x^2)dx\). Evaluating, we find: \([x^2-\frac{x^3}{3}]_0^2= (4-\frac{8}{3})=\frac{4}{3}\) sq units. Therefore, the correct answer is option C.",Jamb 1999
Calculus,3,"Evaluate: \(\int_{0}^{z} (\sin x-\cos x)\,dx\) where \(z=\frac{\pi}{4}\). ",\(\sqrt{2+1}\),\(\sqrt{2}-1\),\(-\sqrt{2}-1\),\(1-\sqrt{2}\),D,"The antiderivative of \(\sin x-\cos x\) is \(-\cos x-\sin x\). Evaluating from 0 to \(\frac{\pi}{4}\): at \(x=\frac{\pi}{4}\), we have \(-\frac{\sqrt{2}}{2}-\frac{\sqrt{2}}{2}=-\sqrt{2}\); at \(x=0\), we get \(-1-0=-1\). Thus, the definite integral equals \(-\sqrt{2}-(-1)=1-\sqrt{2}\).",Jamb 1999
Calculus,2,"Find the volume of the solid generated when the area enclosed by \(y=0\), \(y=2x\), and \(x=3\) is rotated about the x-axis. ",\(81\pi\) cubic units,\(36\pi\) cubic units,\(18\pi\) cubic units,\(9\pi\) cubic units,B,"Using the disk method, the radius of rotation is given by \(y=2x\). The volume is \(V=\pi\int_{0}^{3}(2x)^2dx=\pi\int_{0}^{3}4x^2dx=4\pi\left[\frac{x^3}{3}\right]_0^3=4\pi\left(\frac{27}{3}\right)=36\pi\) cubic units.",Jamb 1999
Calculus,2,What is the derivative of \(t^2\sin(3t-5)\) with respect to \(t\)? ,\(6t\cos(3t-5)\),\(2t\sin(3t-5)-3t^2\cos(3t-5)\),\(2t\sin(3t-5)+3t^2\cos(3t-5)\),\(2t\sin(3t-5)+t^2\cos3t\),C,"Apply the product rule: if \(f(t)=t^2\) and \(g(t)=\sin(3t-5)\), then \(f'(t)=2t\) and \(g'(t)=3\cos(3t-5)\). Therefore, \(\frac{d}{dt}(t^2\sin(3t-5))=2t\sin(3t-5)+t^2\cdot3\cos(3t-5)\).",Jamb 1999
Calculus,2,Evaluate \(\int_{-2}^{1}(x-1)^2dx\). ,\(\frac{-10}{3}\),7,9,11,C,"Let \(u=x-1\). When \(x=-2\), \(u=-3\); when \(x=1\), \(u=0\). Then, \(\int_{-3}^{0}u^2du=\left[\frac{u^3}{3}\right]_{-3}^{0}=0-\left(-\frac{27}{3}\right)=9\).",Jamb 1999
Calculus,2,Find the value of \(x\) for which the function \(y=x^3-x\) has a minimum value. ,\(-\sqrt{3}\),\(-\sqrt{\frac{3}{3}}\),\(\sqrt{\frac{3}{3}}\),\(\sqrt{3}\),C,"Differentiate \(y=x^3-x\) to obtain \(y'=3x^2-1=0\) which implies \(x^2=\frac{1}{3}\). The positive root is \(x=\frac{1}{\sqrt{3}}\). Assuming option C represents \(\frac{1}{\sqrt{3}}\), that is the correct answer.",Jamb 1999
Algebra,1,"If the minimum value of \(y=1+hx-3x^2\) is 13, find \(h\). ",13,12,11,10,B,The vertex of the parabola \(y=1+hx-3x^2\) occurs at \(x=\frac{-h}{2(-3)}=\frac{h}{6}\). The minimum value is \(1+\frac{h^2}{6}-3\left(\frac{h}{6}\right)^2=1+\frac{h^2}{6}-\frac{h^2}{12}=1+\frac{h^2}{12}\). Setting \(1+\frac{h^2}{12}=13\) gives \(\frac{h^2}{12}=12\) so that \(h^2=144\) and \(h=12\).,Jamb 1999
Sets,2,"Let \(P=\{1,2,u,v,w,x\}\), \(Q=\{2,3,u,v,w,5,6,y\}\) and \(R=\{2,3,4,v,x,y\}\). Determine \((P-Q)\cap R\). ","\(\{1,x\}\)","\(\{x,y\}\)",\(\{x\}\),\(\phi\),C,"\(P-Q\) is the set of elements in \(P\) that are not in \(Q\). Since \(P=\{1,2,u,v,w,x\}\) and \(Q=\{2,3,u,v,w,5,6,y\}\), we have \(P-Q=\{1,x\}\). Now, intersecting with \(R=\{2,3,4,v,x,y\}\) gives \(\{x\}\).",Jamb 1999
Arithmetic,1,"If the population of a town was 240,000 in January 1998 and it increased by $2\%$ each year, what is the population in January 2000? ","480,000","249,696","249,600","244,800",B,"The population after 2 years is calculated by \(240,000\times(1.02)^2=240,000\times1.0404\approx249,696\).",Jamb 1999
Algebra,3,"If \(\frac{(2\sqrt{3}-\sqrt{2})}{(\sqrt{3}+2\sqrt{2})}= m+n\sqrt{6}\), find the values of \(m\) and \(n\) respectively. ","\(1, -2\)","\(-2, 1\)","\(\frac{-2}{5}, 1\)","\(2, \frac{3}{5}\)",B,"Multiply the numerator and denominator by the conjugate \((\sqrt{3}-2\sqrt{2})\). The numerator becomes \((2\sqrt{3}-\sqrt{2})(\sqrt{3}-2\sqrt{2})=10-5\sqrt{6}\) and the denominator becomes \((\sqrt{3}+2\sqrt{2})(\sqrt{3}-2\sqrt{2})=3-8=-5\). Thus, the expression simplifies to \(\frac{10-5\sqrt{6}}{-5}=-2+\sqrt{6}\), so \(m=-2\) and \(n=1\).",Jamb 1999
