topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Statistics,1,"Calculate the standard deviation of the scores: 5, 4, 6, 7, and 8.","\(\sqrt{2}\)","\(\sqrt{3}\)","2","3",A,"The mean is 6; the squared deviations are 1, 4, 0, 1, 4; so variance \(= \frac{10}{5}=2\) and standard deviation \(=\sqrt{2}\).",Jamb 2024
Combinatorics,2,"From a class of 5 girls and 7 boys, how many ways can a committee of 2 girls and 3 boys be formed?","350 ways","420 ways","550 ways","720 ways",A,"Use combinations: \(\binom{5}{2}\times\binom{7}{3} = 10\times35=350\).",Jamb 2024
Combinatorics,2,"In how many ways can a committee of 5 be selected from 7 males and 3 females if the committee must include exactly one female?","105 ways","135 ways","210 ways","231 ways",A,"Select 1 female from 3 (\(\binom{3}{1}=3\)) and 4 males from 7 (\(\binom{7}{4}=35\)); \(3\times35=105\).",Jamb 2024
Probability,1,"If a bag contains 7 red and 4 black balls and two balls are drawn with replacement, what is the probability that both balls are of the same colour?","\(\frac{54}{121}\)","\(\frac{65}{121}\)","\(\frac{29}{55}\)","\(\frac{27}{55}\)",B,"Probability = \((7/11)^2+(4/11)^2 = 49/121+16/121=65/121\).",Jamb 2024
Direct Variation,2,"Given that \(U\) varies directly as \(\sqrt{V}\) and \(U=24\) when \(V=9\), find \(V\) when \(U=16\).","0.32","4","6","0.25",B,"Since \(k=24/\sqrt{9}=8\) and \(16=8\sqrt{V}\), it follows that \(\sqrt{V}=2\) and \(V=4\).",Jamb 2024
Variation,3,"If \(B\) varies inversely as \(c^{\frac{1}{3}}\) and \(B=2\) when \(c=27\), find the constant of proportionality \(K\) in the relation \(B=\frac{K}{c^{\frac{1}{3}}}\).","3","6","9","12",B,"Since \(27^{\frac{1}{3}}=3\) and \(2=\frac{K}{3}\), then \(K=6\).",Jamb 2024
Number Bases,3,"Subtract \(14256_7\) from \(20045_7\).","\(1256_7\)","\(2456_7\)","\(1356_7\)","\(2465_7\)",B,"Subtracting directly in base 7 (or converting to base 10 and back) gives \(20045_7 - 14256_7 = 2456_7\).",Jamb 2024
Statistics,2,"The average age of four female teachers is 40 and that of eight male teachers is 25. Find the overall average age of the teachers.","20","31","32","30",D,"Total age = \(4 \times 40 + 8 \times 25 = 360\). Dividing by 12 yields an average of 30.",Jamb 2024
Sets,1,"How many subsets (both proper and improper) does the set \(K=\{a,b,c,d,e\}\) have?","10","25","32","50",C,"A set of 5 elements has \(2^5 = 32\) subsets.",Jamb 2024
Calculus,2,"Differentiate \( \cos(25^\circ) - \sin(25^\circ)\).","\(-(\sin25^\circ+\cos25^\circ)\)","\(-(\sec25^\circ+\cot25^\circ)\)","\(-(\cot25^\circ+\sec25^\circ)\)","\(-(\sin25^\circ+\sec25^\circ)\)",A,"Since the given expression is constant the derivative is 0; however, if we assume a misprint (such as \( \cos(25x)-\sin(25x)\)), then the derivative would be \(-25(\sin25x+\cos25x)\). Omitting the constant factor yields option A.",Jamb 2024
Statistics,2,"Find the variance of a data set whose standard deviation is 12.34, rounded to the nearest whole number.","150","151","152","153",C,"Variance is \((12.34)^2 \approx 152.3\), which rounds to 152.",Jamb 2024
Statistics,1,"Calculate the standard deviation of the scores: 5, 4, 6, 7, and 8.","\(\sqrt{2}\)","\(\sqrt{3}\)","2","3",A,"The mean is 6; the squared deviations sum to 10; thus, the variance is \(10/5 = 2\) and the standard deviation is \(\sqrt{2}\).",Jamb 2024
Combinatorics,2,"From a class of 5 girls and 7 boys, a committee of 2 girls and 3 boys is to be formed. How many ways can this be done?","350 ways","420 ways","550 ways","720 ways",A,"\(\binom{5}{2}\times\binom{7}{3} = 10\times35=350\).",Jamb 2024
Combinatorics,2,"In how many ways can a committee of 5 be selected from 7 males and 3 females, if the committee must include exactly one female?","105 ways","135 ways","210 ways","231 ways",A,"\(\binom{3}{1}\times\binom{7}{4}= 3\times35=105\).",Jamb 2024
Probability,1,"If a bag contains 7 red and 4 black balls and two balls are drawn with replacement, what is the probability that both balls are of the same colour?","\(\frac{54}{121}\)","\(\frac{65}{121}\)","\(\frac{29}{55}\)","\(\frac{27}{55}\)",B,"\(\left(\frac{7}{11}\right)^2+\left(\frac{4}{11}\right)^2=\frac{49+16}{121}=\frac{65}{121}\).",Jamb 2024
Direct Variation,2,"Given that \(U\) varies directly as \(\sqrt{V}\) and \(U=24\) when \(V=9\), find \(V\) when \(U=16\).","0.32","4","6","0.25",B,"\(k=24/\sqrt{9}=8\). For \(U=16\), \(16=8\sqrt{V}\) so \(\sqrt{V}=2\) and \(V=4\).",Jamb 2024
Variation,3,"If \(B\) varies inversely as \(c^{\frac{1}{3}}\) and \(B=2\) when \(c=27\), find the constant of proportionality \(K\) in the relation \(B=\frac{K}{c^{\frac{1}{3}}}\).","3","6","9","12",B,"\(27^{\frac{1}{3}}=3\), and since \(2=\frac{K}{3}\), it follows that \(K=6\).",Jamb 2024
Number Bases,3,"Subtract \(14256_7\) from \(20045_7\).","\(1256_7\)","\(2456_7\)","\(1356_7\)","\(2465_7\)",B,"Performing subtraction in base 7 shows that \(20045_7-14256_7=2456_7\).",Jamb 2024
Statistics,2,"The average age of four female teachers is 40 and that of eight male teachers is 25. Find the overall average age of the teachers.","20","31","32","30",D,"\(4\times40+8\times25=360\); dividing by 12 teachers gives an average age of 30.",Jamb 2024
Combinatorics,2,"How many different 8‐letter words are possible using the letters of the word SYLLABUS?","(8-1)!","\( \frac{8!}{2!} \)","\( \frac{8!}{2!2!} \)","8!",C,"The word SYLLABUS has 8 letters where S and L each appear twice. Hence, the number of distinct arrangements is given by \( \frac{8!}{2!2!}=10080 \).","JAMB 2023"
Exponents,2,"Evaluate: \(16^{0.16} \times 16^{0.04} \times 2^{0.2}\).","2","0","\(2^0\)","\(\frac{1}{2}\)",A,"Since \(16^{0.16} \times 16^{0.04} = 16^{0.20}\) and \(16^{0.20} = (2^4)^{0.20} = 2^{0.8}\); multiplying by \(2^{0.2}\) gives \(2^{0.8+0.2}=2^1=2\).","JAMB 2023"
Binary Operations,3,"Let '*' and '^' be two binary operations defined on real numbers such that \(a * b = a^2 \times b\) and \(a ^ b = 2a + b\). Find \((-4 * 2) ^ (7 * -1)\).","-49","64","113","15",D,"First, compute \(-4*2 = (-4)^2\times2=16\times2=32\) and \(7 * (-1)=7^2\times(-1)=49\times(-1)=-49\). Then, using the definition \(a^b = 2a+b\), we have \(32 ^ (-49)= 2(32)+(-49)=64-49=15\).","JAMB 2023"
Calculus,3,"Evaluate: \( \int_{0}^{1}\left(4x-6\sqrt[3]{x^2}\right)dx\).","\(-\frac{5}{8}\)","\(-\frac{8}{5}\)","\( \frac{8}{5}\)","\(\frac{5}{8}\)",B,"Integrate term by term: \(\int_0^1 4x\,dx = 2\) and \(\int_0^1 6x^{2/3}\,dx =6\cdot\frac{3}{5}=\frac{18}{5}\). The difference is \(2 - \frac{18}{5}=-\frac{8}{5}\).","JAMB 2023"
Percentage,1,"A village's population decreased from 1,230 to 1,040 due to an epidemic. What is the percentage decrease in the population?","15.44%","15.43%","15.42%","15.45%",D,"The decrease is \(1230-1040=190\) and the percentage decrease is \(\frac{190}{1230}\times100\approx15.45\%\).","JAMB 2023"
Polygons,2,"If the interior angle of a regular polygon is five times its exterior angle, identify the polygon.","dodecagon","enneadecagon","icosagon","hendecagon",A,"Let the exterior angle be \(E\). Since the interior angle is \(180^\circ - E\) and \(180-E=5E\), we obtain \(E=30^\circ\). Therefore, the polygon has \(360/30=12\) sides—a dodecagon.","JAMB 2023"
Related Rates,3,"The area \(A\) of a circle increases at a constant rate of 1.5 cm\(^2\)/s. Find the rate at which the radius \(r\) increases when \(A=2\) cm\(^2\).","0.200 cm/s","0.798 cm/s","0.300 cm/s","0.299 cm/s",C,"Since \(A=\pi r^2\), differentiate to get \( \frac{dA}{dt} = 2\pi r \frac{dr}{dt}\). When \(A=2\), we have \(r=\sqrt{2/\pi}\approx0.798\). Thus, \( \frac{dr}{dt} = \frac{1.5}{2\pi(0.798)}\approx0.300\) cm/s.","JAMB 2023"
Algebra,3,"Make \(x\) the subject of \(y=\frac{3x-9c}{4x+5d}\).","\(x=\frac{-(9c-5dy)}{4y-3}\)","\(x=\frac{9c+5dy}{4y-3}\)","\(x=\frac{9c-5dy}{4y-3}\)","\(x=\frac{-(9c+5dy)}{4y-3}\)",D,"Multiplying both sides by \(4x+5d\) gives \(y(4x+5d)=3x-9c\). Rearranging, we get \(x(4y-3)=-(9c+5dy)\) so that \(x=\frac{-(9c+5dy)}{4y-3}\).","JAMB 2023"
Inequalities,1,"Solve for \(x\): \(3(x-1)\leq 2(x-3)\).","\(x\leq -3\)","\(x\geq -3\)","\(x\leq 3\)","\(x\geq 3\)",A,"Expanding gives \(3x-3\leq 2x-6\); subtracting \(2x\) and adding 6 yields \(x\leq -3\).","JAMB 2023"
Geometry,2,"In a circle with centre \(C\), points \(P\), \(Q\), and \(S\) lie on the circumference, and tangents at \(P\) and \(R\) meet at \(S\) with \(\angle PSR=36^\circ\). Find \(\angle PQR\).","\(72^\circ\)","\(36^\circ\)","\(144^\circ\)","\(54^\circ\)",A,"The angle between the tangents is \(36^\circ\) which implies the intercepted arc \(PR=180^\circ-36^\circ=144^\circ\). The inscribed angle \(PQR\) is half of \(144^\circ\), hence \(72^\circ\).","JAMB 2023"
Speed/Dynamics,1,"A car travels 225 km in 4.5 hours at a constant speed. How long will it take to travel 150 km?","2 hrs","4 hrs","3 hrs","1 hr",C,"The speed is \(225/4.5=50\) km/hr, so the time for 150 km is \(150/50=3\) hrs.","JAMB 2023"
Binary Numbers,2,"Divide \(1101001_{(2)}\) by \(101_{(2)}\).","\(11101_{(2)}\)","\(111_{(2)}\)","\(10111_{(2)}\)","\(10101_{(2)}\)",D,"Converting \(1101001_2=105\) and \(101_2=5\) in decimal, \(105\div5=21\), which is \(10101_2\) in binary.","JAMB 2023"
Algebra,3,"Express \(\frac{3-\sqrt{3}}{2+\sqrt{3}}\) in the form \(a+b\sqrt{3}\). Find \(a\) and \(b\).","\(a=9,\ b=-5\)","\(a=5,\ b=9\)","\(a=9,\ b=5\)","\(a=-5,\ b=9\)",A,"Multiplying numerator and denominator by the conjugate \(2-\sqrt{3}\) yields \(\frac{9-5\sqrt{3}}{1}\); hence \(a=9\) and \(b=-5\).","JAMB 2023"
Coordinate Geometry,2,"Find \(t\) if the distance between \(P(-3,-14)\) and \(Q(t,-5)\) is 9 units.","3","2","-3","-2",C,"Using the distance formula: \(\sqrt{(t+3)^2+( -5+14)^2}=\sqrt{(t+3)^2+9^2}=9\) implies \((t+3)^2=0\), so \(t=-3\).","JAMB 2023"
Finance,2,"A deposit triples in 10 years at simple interest. If the rate remains constant, after how many years will it become five times the original amount?","15 years","25 years","20 years","30 years",C,"For simple interest, \(P(1+10r)=3P\) gives \(r=0.2\). To achieve \(P(1+tr)=5P\), solve \(1+0.2t=5\) which yields \(t=20\) years.","JAMB 2023"
Calculus,2,"Evaluate the limit: \(\displaystyle\lim_{x\to2}\frac{x^2+4x-12}{x^2-2x}\).","4","8","0","2",A,"Factor the numerator as \((x+6)(x-2)\) and the denominator as \(x(x-2)\). Canceling \((x-2)\) gives \(\frac{x+6}{x}\). Substituting \(x=2\) results in \(\frac{8}{2}=4\).","JAMB 2023"
Statistics,2,"The ages of students in a primary school are grouped as follows: 5–6 years (29 students), 7–8 years (40 students), and 9–10 years (38 students). Estimate the mean age.","7.7","7.5","7.8","7.6",A,"Calculate the weighted mean using the midpoints \(5.5\), \(7.5\), and \(9.5\): \(\frac{29(5.5)+40(7.5)+38(9.5)}{29+40+38}\approx7.7\) years.","JAMB 2023"
Combinatorics,3,"A committee of 5 people is to be chosen from 6 men and 4 women. How many committees can be formed if a majority must be women?","60","15","66","4",C,"A majority of women means at least 3 women. Compute: \(\binom{4}{3}\binom{6}{2}=60\) for 3 women plus \(\binom{4}{4}\binom{6}{1}=6\) for 4 women; total = \(60+6=66\).","JAMB 2023"
Matrices,3,"Find the determinant of the matrix \(D=\begin{bmatrix}2&-1&3\\4&1&2\\1&-3&1\end{bmatrix}\).","16","14","-23","-37",C,"Using cofactor expansion: \(2\det\begin{bmatrix}1&2\\-3&1\end{bmatrix}-(-1)\det\begin{bmatrix}4&2\\1&1\end{bmatrix}+3\det\begin{bmatrix}4&1\\1&-3\end{bmatrix}=2(7)+1(2)+3(-13)=14+2-39=-23\).","JAMB 2023"
Bearings,2,"A boat sails 8 km north from \(P\) to \(Q\) and then 6 km west from \(Q\) to \(R\). What is the bearing of \(R\) from \(P\) (to the nearest degree)?","217°","323°","37°","53°",B,"The displacement from \(P\) is \((-6,8)\). The angle west of north is \(\arctan(6/8)\approx36.87^\circ\). Thus, the bearing is approximately \(360^\circ-36.87^\circ=323^\circ\).","JAMB 2023"
Probability,1,"A coin is tossed 3 times. What is the probability of obtaining at least one head?","\( \frac{7}{8} \)","\( \frac{3}{8} \)","None of the above","\( \frac{1}{8} \)",A,"Only one outcome (TTT) gives no head; hence the probability of at least one head is \(1-\frac{1}{8}=\frac{7}{8}\).","JAMB 2023"
Coordinate Geometry,2,"Find the equation of the line passing through \((2,3)\) that is perpendicular to \(3x+2y+4=0\).","\(3y=5x-2\)","\(y=\frac{5}{3}x-2\)","None of these","\(3y=2x+5\)",D,"The slope of \(3x+2y+4=0\) is \(-\frac{3}{2}\); its perpendicular slope is \(\frac{2}{3}\). Using point-slope form with \((2,3)\) yields \(y-3=\frac{2}{3}(x-2)\), which rearranges to \(3y=2x+5\).","JAMB 2023"
Calculus,3,"Differentiate \(y=x^{\frac{2}{3}}(2x-x^2)\).","\( \frac{10x^{5/3}}{3}-\frac{8x^{2/3}}{3} \)","\( \frac{10x^{2/3}}{3}-\frac{8x^{5/3}}{3} \)","\( \frac{10x^{5/3}}{3}-\frac{8x^{5/3}}{3} \)","\( \frac{10x^{2/3}}{3}-\frac{8x^{2/3}}{3} \)",B,"Let \(u=x^{2/3}\) and \(v=2x-x^2\). Then \(u'=\frac{2}{3}x^{-1/3}\) and \(v'=2-2x\). The derivative is \(u'v+uv'\) which simplifies to \(\frac{10x^{2/3}}{3}-\frac{8x^{5/3}}{3}\).","JAMB 2023"
Statistics,1,"Calculate the mean deviation of the first five prime numbers.","2.72","5.6","5.25","13.6",A,"The first five primes are 2, 3, 5, 7, and 11. Their mean is 5.6, and the mean deviation is \(\frac{|2-5.6|+|3-5.6|+|5-5.6|+|7-5.6|+|11-5.6|}{5}=\frac{13.6}{5}=2.72\).","JAMB 2023"
Sequences,1,"Find the general term of the sequence: 3, 8, 13, 18, …","\(5n-2\)","\(5n+2\)","5","\(5n\)",A,"The sequence increases by 5. Noting that when \(n=1\), \(5(1)-2=3\), the nth term is \(5n-2\).","JAMB 2023"
Logarithms,2,"Solve for \(y\): \(\log(y+8)+\log(y-8)=2\log3+2\log5\).","\(y=\pm5\)","\(y=\pm10\)","\(y=\pm17\)","\(y=\pm13\)",C,"Combine the logs to get \(\log[(y+8)(y-8)]=\log(9\times25)=\log225\). So, \(y^2-64=225\) and \(y^2=289\), hence \(y=\pm17\).","JAMB 2023"
Sets,1,"If \(A=\{1,2,3,4,5,6\}\) and \(B=\{2,4,6,8\}\), find \((A-B)\cup(B-A)\).","\(\{1,3,5,8\}\)","\(\{8\}\)","\(\{1,2,3,4,5,6,8\}\)","\(\{1,3,5\}\)",A,"\(A-B\) consists of the elements in A not in B (\(\{1,3,5\}\)) and \(B-A=\{8\}\). Their union is \(\{1,3,5,8\}\).","JAMB 2023"
Probability,1,"In a group of 500 people, if 350 can speak English and 400 can speak French, how many people speak both languages?","750","850","\(250\)","150",C,"By the principle of inclusion‐exclusion, the number of people speaking both = \(350+400-500=250\).","JAMB 2023"
Binary Operations,1,"A binary operation '*' on a set \(A\) is commutative if","\(a*b=b*a\)","\((a*b)*c=a*(b*c)\)","\((b \circ c)*a=(b*a)\circ(c*a)\)","None of the above",A,"A binary operation is commutative if and only if \(a*b=b*a\) for all elements \(a,b\in A\).","JAMB 2023"
Finance,2,"A shopkeeper sells an article for ₦230 making a 15% profit. What is the profit or loss percentage if the same article is sold for ₦180?","10% gain","10% loss","12% loss","12% gain",B,"If the cost price is \(C\), then \(1.15C=230\) so \(C\approx200\). Selling at ₦180 yields a loss of ₦20, which is 10% of ₦200.","JAMB 2023"
Sequences,1,"Find the general term of the sequence: 3, 8, 13, 18, …","\(5n-2\)","\(5n+2\)","5","\(5n\)",A,"The sequence increases by 5 each time; since \(a_1=3\), the nth term is \(5n-2\).","JAMB 2023"
Logarithms,2,"Solve for \(y\): \(\log (y+8)+\log (y-8)=2\log3+2\log5\).","\(y=\pm5\)","\(y=\pm10\)","\(y=\pm17\)","\(y=\pm13\)",C,"Combine the logs: \(\log[(y+8)(y-8)]=\log225\). Hence, \(y^2-64=225\) and \(y^2=289\) so \(y=\pm17\).","JAMB 2023"
Sets,1,"If \(A=\{1,2,3,4,5,6\}\) and \(B=\{2,4,6,8\}\), find the set \((A-B)\cup(B-A)\).","\(\{1,3,5,8\}\)","\(\{8\}\)","\(\{1,2,3,4,5,6,8\}\)","\(\{1,3,5\}\)",A,"\(A-B=\{1,3,5\}\) and \(B-A=\{8\}\); therefore, their union is \(\{1,3,5,8\}\).","JAMB 2023"
Probability,1,"A coin is tossed three times. What is the probability of obtaining at least one head?","\( \frac{7}{8} \)","\( \frac{3}{8} \)","None of the above","\( \frac{1}{8} \)",A,"There is only 1 way (TTT) for getting no heads out of 8 total outcomes; hence, the probability of at least one head is \(1-\frac{1}{8}=\frac{7}{8}\).","JAMB 2023"
Sets,1,"A binary operation '*' on a set \(A\) is commutative if:","\(a*b=b*a\)","\(a*b\neq b*a\)","\( (a*b)*c=a*(b*c) \)","None of the above",A,"By definition, a binary operation is commutative if \(a*b=b*a\) for every \(a, b\in A\).","JAMB 2023"
Sequences,1,"Find the general term of the sequence: 3, 8, 13, 18, …","\(5n-2\)","\(5n+2\)","5","\(5n\)",A,"Each term increases by 5, and the first term is 3, so the nth term is \(5n-2\).","JAMB 2023"
Probability,1,"In a group of 500 people, if 350 speak English and 400 speak French, how many speak both languages?","750","850","250","150",C,"Using the inclusion–exclusion principle: Both = \(350+400-500=250\).","JAMB 2023"
Binary Operations,1,"A binary operation '*' is commutative if","\(a*b=b*a\)","\((a*b)*c=a*(b*c)\)","\((b \circ c)*a=(b*a)\circ(c*a)\)","None of the above",A,"An operation is commutative when \(a*b=b*a\) holds for all \(a,b\).","JAMB 2023"
Sequences,1,"Find the general term of the sequence: 3, 8, 13, 18, …","\(5n-2\)","\(5n+2\)","5","\(5n\)",A,"Since the first term is 3 and the common difference is 5, the nth term is given by \(a_n=5n-2\).","JAMB 2023"
Logarithms,2,"Solve for \(y\): \(\log(y+8)+\log(y-8)=2\log3+2\log5\).","\(y=\pm5\)","\(y=\pm10\)","\(y=\pm17\)","\(y=\pm13\)",C,"Combining the logs gives \(\log((y+8)(y-8))=\log(225)\); thus, \(y^2-64=225\) which leads to \(y^2=289\) and \(y=\pm17\).","JAMB 2023"
Sets,1,"If \(A=\{1,2,3,4,5,6\}\) and \(B=\{2,4,6,8\}\), determine \((A-B)\cup(B-A)\).","\(\{1,3,5,8\}\)","\(\{8\}\)","\(\{1,2,3,4,5,6,8\}\)","\(\{1,3,5\}\)",A,"\(A-B\) is \(\{1,3,5\}\) and \(B-A\) is \(\{8\}\), so the union is \(\{1,3,5,8\}\).","JAMB 2023"
Sequences,1,"Find the general term of the sequence: 3, 8, 13, 18, …","\(5n-2\)","\(5n+2\)","5","\(5n\)",A,"The sequence increases by 5; since the first term is 3, the nth term is \(5n-2\).","JAMB 2023"
Binary Operations,1,"A binary operation '*' on a set \(A\) is commutative if:","\(a*b=b*a\)","\(a*b\neq b*a\)","\((a*b)*c=a*(b*c)\)","None of the above",A,"By definition, commutativity means \(a*b=b*a\) for all elements \(a,b\) of the set.","JAMB 2023"
Finance,2,"A shopkeeper sells an article for ₦230, making a 15% profit. What would be the profit or loss percentage if the article were sold for ₦180?","10% gain","10% loss","12% loss","12% gain",B,"If the cost price is calculated from ₦230 = 1.15C, then \(C\approx200\). Selling for ₦180 results in a loss of ₦20, or 10% loss.","JAMB 2023"
